dataset,missing_rate,k,rmse,mae,time_seconds
Breast Cancer,0.05,3,0.07026674828343202,0.04641550505210154,7.727710200008005
Breast Cancer,0.05,5,0.06899342922822227,0.04497075386275643,7.628113799961284
Breast Cancer,0.05,7,0.07041328868881203,0.04565106932756104,7.503326399950311
Breast Cancer,0.05,11,0.0712622130232847,0.046084154684678594,7.53423880005721
Breast Cancer,0.15,3,0.07614919284940551,0.04962059546084856,21.372524600010365
Breast Cancer,0.15,5,0.0741100391429702,0.0477794217046423,22.084388299961574
Breast Cancer,0.15,7,0.07452985166191436,0.047681375069768994,22.144942600047216
Breast Cancer,0.15,11,0.07485634455734691,0.04819642573529784,21.50183790002484
Breast Cancer,0.3,3,0.08671241457225372,0.055023084557053376,40.08814689994324
Breast Cancer,0.3,5,0.08282016296973335,0.05209014079090898,40.43676680000499
Breast Cancer,0.3,7,0.08232710282383211,0.05168268921175939,41.4085378999589
Breast Cancer,0.3,11,0.08295211432018801,0.052066909270365044,47.98299329995643
