dataset,missing_rate,k,rmse,mae,time_seconds
Breast Cancer,0.05,3,0.07026674828343202,0.04641550505210154,7.662033700034954
Breast Cancer,0.05,5,0.06899342922822227,0.04497075386275643,7.522882000077516
Breast Cancer,0.05,7,0.07041328868881203,0.04565106932756104,7.539713499951176
Breast Cancer,0.05,11,0.0712622130232847,0.046084154684678594,7.657121900003403
Breast Cancer,0.15,3,0.07614919284940551,0.04962059546084856,21.718815100030042
Breast Cancer,0.15,5,0.0741100391429702,0.0477794217046423,21.353323000017554
Breast Cancer,0.15,7,0.07452985166191436,0.047681375069768994,21.95079569995869
Breast Cancer,0.15,11,0.07485634455734691,0.04819642573529784,20.511672700056806
Breast Cancer,0.3,3,0.08671241457225372,0.055023084557053376,39.35124550003093
Breast Cancer,0.3,5,0.08282016296973335,0.05209014079090898,38.6703387000598
Breast Cancer,0.3,7,0.08232710282383211,0.05168268921175939,38.95570900000166
Breast Cancer,0.3,11,0.08295211432018801,0.052066909270365044,44.343779399991035
