dataset,missing_rate,k,rmse,mae,time_seconds
RNA-Seq,0.05,3,0.1772590912530743,0.12895079312895444,167.8887745999964
RNA-Seq,0.05,5,0.17278988447148458,0.12552024502765066,145.7572032000171
RNA-Seq,0.05,7,0.17167605831770308,0.12468713102200567,115.57128979999106
RNA-Seq,0.05,11,0.17232626735791973,0.12515277675815006,111.61406269995496
RNA-Seq,0.15,3,0.17844324729836858,0.12958564715133203,374.3070516999578
RNA-Seq,0.15,5,0.17420383872765693,0.12647456212663732,366.45466150005814
RNA-Seq,0.15,7,0.17295313394690348,0.12543148656695619,363.09401560004335
RNA-Seq,0.15,11,0.1737117711426306,0.12609887531969258,361.29023519996554
RNA-Seq,0.3,3,0.18159226503673462,0.1322059761669173,725.5503699999535
RNA-Seq,0.3,5,0.17714976794791,0.1288319547623521,719.994959600037
RNA-Seq,0.3,7,0.17634272696697018,0.12815666842649553,716.6741693000076
RNA-Seq,0.3,11,0.1772566260965992,0.12901456307705675,719.3342425998999
